1,"Sven-Göran Eriksson","england","sweden"
2,"Dick Advocaat","netherlands","netherlands"
3,"Morten Olsen","denmark","denmark"
4,"Rudi Voller","germany","germany"
5,"Tommy Soderberg","sweden","sweden"
6,"Aleksandr Starkov","latvia","latvia"
7,"Karel Bruckner","czech","czech"
8,"Georgi Yartsev","russia","russia"
9,"Plamen Markov","bulgaria","bulgaria"
10,"Otto Rehhagel","greece","germany"
11,"Otto Baric","croatia","austria"
12,"Jakob Kuhn","switzerland","switzerland"
13,"Giovanni Trapattoni","italy","italy"
14,"Inaki Saez","spain","spain"
15,"Jacques Santini","france","france"
16,"Luiz Felipe Scolari","portugal","brazil"
