
FRANCHNAME                                                       FRANCHID
---------------------------------------------------------------- --------
Anaheim Angels                                                   ANA     
Arizona Diamondbacks                                             ARI     
Atlanta Braves                                                   ATL     
Baltimore Orioles                                                BAL     
Boston Red Sox                                                   BOS     
Chicago Cubs                                                     CHC     
Chicago White Sox                                                CHW     
Cincinnati Reds                                                  CIN     
Cleveland Indians                                                CLE     
Colorado Rockies                                                 COL     
Detroit Tigers                                                   DET     
Florida Marlins                                                  FLA     
Houston Astros                                                   HOU     
Kansas City Royals                                               KCR     
Los Angeles Dodgers                                              LAD     
Milwaukee Brewers                                                MIL     
Minnesota Twins                                                  MIN     
Montreal Expos                                                   MON     
New York Mets                                                    NYM     
New York Yankees                                                 NYY     
Oakland Athletics                                                OAK     
Philadelphia Phillies                                            PHI     
Pittsburgh Pirates                                               PIT     
San Diego Padres                                                 SDP     
Seattle Mariners                                                 SEA     
San Francisco Giants                                             SFG     
St. Louis Cardinals                                              STL     
Tampa Bay Devil Rays                                             TBD     
Texas Rangers                                                    TEX     
Toronto Blue Jays                                                TOR     

  30 record(s) selected.

